100;12/04/2019 15:19;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;dagowop;dagowops;;30/10/2019 22:43;;hExD3rxQp,,,,,,,,,,
"100;12/04/2019 15:18;""Combination of """"Dago"""" and """"Wop"""""";FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1;0;1;;dagowop;;30/10/2019 22:43;;oVFNgdGCE",,,,,,,,,,
0;28/02/2019 19:37;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;1;chimp pack;chimp-outs;;30/10/2019 22:43;;kurvPtF7E,,,,,,,,,,
75;11/04/2019 20:41;Referring to Hispanic people;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3;0;2;;bean bandit;;30/10/2019 22:40;;pdqCdUuiB,,,,,,,,,,
75;11/04/2019 20:42;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2;0;2;bean bandit;bean bandits;;30/10/2019 22:40;;kpYzwEddG,,,,,,,,,,
0;17/03/2019 17:47;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;25;0;19;lipstick lesbian;lipstick lesbians;;30/10/2019 22:36;;fB3bwakms,,,,,,,,,,
44;07/05/2019 20:05;Contraction of liberal and retard;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;223;0;129;;libtard;;30/10/2019 22:36;;zPrJTQa6Y,,,,,,,,,,
0;12/04/2019 17:09;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;jihadi-american;jihadi-americans;;30/10/2019 22:36;;qVTLPxNRc,,,,,,,,,,
0;12/04/2019 17:08;Derogatory play on hyphenated ethnicity, relating to Muslims or Arabs more broadly.;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;;jihadi-american;;30/10/2019 22:36;;BjWPVTHeu,,,,,,,,,
0;08/04/2019 14:26;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gyppo;gyppoes;;30/10/2019 22:36;gypos;FNJHyjEyU,,,,,,,,,,
0;08/04/2019 14:25;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gypo;gypoes;;30/10/2019 22:36;gypos;HBT8LPDiC,,,,,,,,,,
0;08/04/2019 14:19;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2;0;1;;gooky eyes;;30/10/2019 22:33;gook eyes;soUDwjTpk,,,,,,,,,,
96;08/04/2019 14:23;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gooklet;gooklets;;30/10/2019 22:33;gook;uDVwuXLbi,,,,,,,,,,
75;08/04/2019 14:23;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gooklet;;30/10/2019 22:33;gook;MHqMsGDUB,,,,,,,,,,
0;08/04/2019 14:22;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;3;0;2;gookette;gookettes;;30/10/2019 22:33;gook;hvHEkesvW,,,,,,,,,,
100;08/04/2019 14:20;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gookette;;30/10/2019 22:33;gook;GTfRPDnWk,,,,,,,,,,
0;08/04/2019 14:20;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gook eyed;;30/10/2019 22:32;gook eyes;cNex4ZaCh,,,,,,,,,,
0;12/04/2019 17:00;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;9;0;6;ghetto monkey;ghetto monkeys;;30/10/2019 22:32;;NhwQUP9Hg,,,,,,,,,,
0;12/04/2019 16:59;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;11;0;6;;ghetto monkey;;30/10/2019 22:32;porch monkey;riyCcVeuu,,,,,,,,,,
0;12/04/2019 15:30;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;2;0;0;filthypino;filthypinos;;30/10/2019 22:32;;9Tbjnfbjc,,,,,,,,,,
50;12/04/2019 15:31;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;filthypinoes;;30/10/2019 22:32;filthypinos;ahoDNdRbm,,,,,,,,,,
100;12/04/2019 15:29;A portmanteau of the word 'filthy' and 'Filipino';FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;filthypino;;30/10/2019 22:32;;nJXyLAJPa,,,,,,,,,,
100;12/04/2019 15:22;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;deminigger;;30/10/2019 22:29;seminiggers;xpzmtaysc,,,,,,,,,,
0;12/04/2019 15:22;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;deminigger;deminiggers;;30/10/2019 22:29;;P6zCCm9iW,,,,,,,,,,
0;12/04/2019 15:20;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;seminigger;;30/10/2019 22:29;sand nigger;mngQLBoHf,,,,,,,,,,
0;12/04/2019 15:21;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;seminigger;seminiggers;;30/10/2019 22:29;;TQzKRXetW,,,,,,,,,,
44;12/04/2019 15:13;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;canigglet;canniglets;;30/10/2019 22:27;;VZZmYnYuJ,,,,,,,,,,
44;12/04/2019 15:12;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;canigglet;;30/10/2019 22:27;canigger;p9fWmsroo,,,,,,,,,,
0;12/04/2019 15:11;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;canigger;caniggers;;30/10/2019 22:27;;nQDqrqYkr,,,,,,,,,,
"100;12/04/2019 15:10;""Combination of """"Canadian"""" and """"Nigger"""""";FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1;0;1;;canigger;;30/10/2019 22:27;;BDRxjhmjx",,,,,,,,,,
0;12/04/2019 15:09;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;cairo coon;cairo coons;;30/10/2019 22:27;;xoN9ZyHBQ,,,,,,,,,,
0;12/04/2019 15:08;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;cairo coon;;30/10/2019 22:27;sand nigger;ypirmXBvE,,,,,,,,,,
0;12/04/2019 15:06;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;bushniglet;bushniglets;;30/10/2019 22:25;;kAQVNHGsZ,,,,,,,,,,
0;12/04/2019 15:06;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;bushniglet;;30/10/2019 22:25;bushnigger;p4WtmrY9q,,,,,,,,,,
68;12/04/2019 15:05;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;bushnigger;bushniggers;;30/10/2019 22:25;;ukssEgvww,,,,,,,,,,
84;12/04/2019 15:04;Referring to North American Aboriginals specifically;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;bushnigger;;30/10/2019 22:25;;Pxmt8yfmv,,,,,,,,,,
0;11/04/2019 20:57;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;bush bandit;bush bandits;;30/10/2019 22:25;;vmudnDokA,,,,,,,,,,
88;11/04/2019 20:56;Referring to North American aboriginals;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3;0;0;;bush bandit;;30/10/2019 22:25;;Ln4hCRsTN,,,,,,,,,,
0;11/04/2019 20:49;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;19;0;19;border bandit;border bandits;;30/10/2019 22:23;;ZfqCyhVKw,,,,,,,,,,
0;11/04/2019 20:51;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;border bandito;border banditos;;30/10/2019 22:23;;KyboRTCwd,,,,,,,,,,
0;11/04/2019 20:49;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1;0;0;;border bandit;;30/10/2019 22:23;border jumpers;hTJhDMqdr,,,,,,,,,,
0;11/04/2019 20:52;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;border banditoes;;30/10/2019 22:23;border banditos;dwDmDCXij,,,,,,,,,,
75;11/04/2019 20:31;A lazy or unemployed black person.;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;african't;;30/10/2019 22:19;;gT9FTdniK,,,,,,,,,,
75;11/04/2019 20:32;;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;african't;african'ts;;30/10/2019 22:19;;hVan9PHKD,,,,,,,,,,
38;01/11/2018 20:38;Having the stereotypical characteristics of a white, anglo-saxon protestant;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;106;0;25;;WASPy;;30/10/2019 19:26;WASP;fqyEdwXg2,,,,,,,,,
80;21/06/2013 23:18;A black person perceived as behaving in a subservient manner to white authority figures.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A person's name;3787;0;62;;Uncle Tom;;30/10/2019 19:25;;T67WEnanA,,,,,,,,,,
98;01/11/2018 20:35;The combination of 'jew' and 'retarded';FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;1;0;0;;jewtarded;;30/10/2019 19:22;jewtard;AfUHKcKtu,,,,,,,,,,
99;22/06/2013 00:12;A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;2346;0;180;;jigaboo;;30/10/2019 19:22;;7e7d4zV6R,,,,,,,,,
99;01/11/2018 19:42;The combination of 'jew' and 'retard';FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;14;0;1;;jewtard;;30/10/2019 18:19;;m3hnwsCjb,,,,,,,,,,
"90;12/04/2013 03:41;""[1] Comparing someone (usually Male) to female genitalia. A variant of """"pussy""""", but generally regarded as far more offensive. [2] A despicable man (Australian English). Has a wide variety of usages and meaning across the English world. For instance, in Commonwealth Countries such as Britain, Australia or New Zealand it can be, and often is, used to refer positively to someone," while in Canada it is widely seen to be highly offensive."";FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;2;0;1;;cunt;;24/10/2019 22:37;;Dnx4Amkhr",,,,
41;17/06/2014 21:32;An idiot or offensive person, generally male, who is being compared to female genitalia;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;twat;;24/10/2019 22:36;;kTfx93ZPU,,,,,,,,
75;01/11/2018 20:38;A person of Hispanic descent. First recorded use in 1915. Theories include from 'no spik English' (and spiggoty from the Chicano no speak-o t'e English), but common belief is that it is an abbreviation of 'Hispanic'.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;177;0;57;spick;spicks;;24/10/2019 20:25;;U7LZHsdGq,,,,,,,,,
0;01/11/2018 20:36;White supremacist term for a black person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;159;0;42;mud duck;mud ducks;;24/10/2019 20:22;;wWQcHVUcD,,,,,,,,,,
0;01/11/2018 20:35;A derogatory term used by Italians to disdainfully describe those of Anglo-Saxon descent (from Italian, literally 'cake eater'). One suggestion is that this term originated from the perception of Italian immigrants that Canadian bread is sweet as cake in comparison to the rustic bread eaten by Italians.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2;0;0;mangia cake;mangia cakes;;24/10/2019 20:22;;kohiUCEH9,,,,,,,,,
0;01/11/2018 20:35;A black person, from the traditional statue.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;A decorative garden statue;0;0;0;lawn jockey;lawn jockeys;;24/10/2019 20:21;;Uvp8LRYkF,,,,,,,,,
40;28/04/2013 03:59;A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1482;0;22;;limey;;24/10/2019 20:20;;rg2Jxq9YD,,,,,,,,,,
0;01/11/2018 20:35;A British person. Comes from the historical British naval practice of giving sailors limes to stave off scurvy.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;265;0;69;limey;limeys;;24/10/2019 20:20;;KnpraUMwu,,,,,,,,,,
57;22/06/2013 08:44;A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;763;0;0;;honky;;24/10/2019 20:20;;QZ679UmzV,,,,,,,,,
50;22/06/2013 09:15;A white person. Derived from an African-American pronunciation of 'hunky', the disparaging term for a Hungarian laborer. The first record of its use as an insulting term for a white person dates from the 1950s.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2499;0;60;;honkey;;24/10/2019 20:19;honky;KCqZGT3G7,,,,,,,,,
0;01/11/2018 20:34;A Jewish person, derived from the word 'Hebrew'.;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;A type of shrub;38;0;12;hebe;hebes;;24/10/2019 20:17;;PZTMUJ8RT,,,,,,,,,
0;01/11/2018 20:34;A rural person, particularly Americans of Appalachia or Ozark heritage.;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;323;6;58;hillbilly;hillbillies;;24/10/2019 20:17;;nzfojxxfi,,,,,,,,,
74;20/06/2013 00:17;A rural person.;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2198;0;35;;hayseed;;24/10/2019 20:17;;Gj2Tgd8ky,,,,,,,,,,
0;01/11/2018 20:34;One who is of mixed race.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;35;0;0;half breed;half breeds;;24/10/2019 20:16;;4l7EuPtJs,,,,,,,,,,
74;10/05/2013 11:20;A person of Italian descent. It can also refer to any person of Mediterranean / Southern European descent or Hispanic descent.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;greaseball;;24/10/2019 20:15;;eTHuefz6U,,,,,,,,,,
50;01/11/2018 20:34;To be cheated or stolen from, derived from 'gypsy';FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;210;1;53;gyp;gypped;;24/10/2019 20:14;;EGjLcktxh,,,,,,,,,
70;08/05/2013 20:56;[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;728;0;0;;gyp;;24/10/2019 20:14;gyppo;4vMX4H94C,,,,,,,,,
84;01/11/2018 20:34;A person of Indian descent, from the caste-mark (dot) on an Indian's forehead.;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;12;0;2;dot head;dot heads;;24/10/2019 20:14;;tyCaffrTB,,,,,,,,,
0;01/11/2018 20:38;A prostitute or promiscuous individual;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;296;0;64;whore;whores;;24/10/2019 20:10;;iqohsptWa,,,,,,,,,,
80;01/11/2018 19:42;A prostitute or promiscuous individual;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;266;3;51;;whore;;24/10/2019 20:10;;Rk8sTdhtR,,,,,,,,,,
90;01/11/2018 19:42;Derogatory term referring to a stereotypical African-American woman;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;Mother, particularly if used by a child;39;0;0;;mammy;;24/10/2019 20:09;;ojNnsgrQr,,,,,,,,,
66;01/11/2018 19:42;Derogatory portmanteau of Muslim and Islamic;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;254;0;60;;muslamic;;24/10/2019 20:09;;NLQHVY4Qc,,,,,,,,,,
75;01/11/2018 19:42;Derogatory term for the Roma people;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;65;1;13;;gypsy;;24/10/2019 20:09;;gfWHTxo4j,,,,,,,,,,
0;01/11/2018 20:34;Derogatory term for the Roma people;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;125;1;26;gypsy;gypsies;;24/10/2019 20:08;;dJLxoAvjZ,,,,,,,,,,
50;01/11/2018 20:34;[1] A Romani people. [2] Egyptians. These are variations of 'Gypsy', the most common word in English for people of Romani origin. 'Gypsy' is not in itself an ethnic slur but its usage is sometimes controversial.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;23;0;10;gyp;gyps;;24/10/2019 20:08;;MvADPbJMj,,,,,,,,,
50;01/11/2018 20:38;A rural person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;350;0;74;yokel;yokels;;24/10/2019 20:06;;MeRR8Jrz4,,,,,,,,,,
65;28/04/2013 14:17;A rural person.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2224;0;41;;yokel;;24/10/2019 20:06;;UH4bwMbby,,,,,,,,,,
56;04/05/2013 12:37;[1] A black female with light skin. [2] A black female of mixed heritage.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3795;0;183;;yellow bone;;24/10/2019 20:06;;A9XaRzmEu,,,,,,,,,,
63;04/05/2013 12:46;[1] A black female with light skin. [2] A black female of mixed heritage.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1238;0;16;;red bone;;24/10/2019 20:06;yellow bone;GJVDK8bQk,,,,,,,,,,
50;30/04/2013 16:43;A Caucasian of low class or limited income.;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;2862;0;85;;white trash;;24/10/2019 20:03;;YT36NAWWa,,,,,,,,,,
87;22/06/2013 04:12;A Caucasian of low class or limited income.;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3940;0;191;;trailer trash;;24/10/2019 20:03;white trash;m4mvnT6wz,,,,,,,,,,
79;05/05/2013 21:47;A Caucasian of low class or limited income.;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3772;0;141;;trailer park trash;;24/10/2019 20:03;white trash;v2ZHTtF96,,,,,,,,,,
84;04/07/2013 15:18;A dishonest person, particularly of Jewish decent.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;3405;0;0;;shyster;;24/10/2019 20:01;;3p8hGyt3A,,,,,,,,,
0;01/11/2018 20:36;A dishonest person, particularly of Jewish decent.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;6;0;0;shyster;shysters;;24/10/2019 20:00;;YzueJdihc,,,,,,,,,
0;01/11/2018 20:33;A black person. Jiggaboo or jigabo is from a Bantu verb tshikabo, meaning meek or servile.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;An exclamation intended to scare the listener;0;0;0;boo;boos;;01/11/2018 20:33;;Hp3DXYHAK,,,,,,,,,
100;01/11/2018 20:33;A term for African Americans;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;4;0;2;bootlip;bootlips;;01/11/2018 20:33;;ngiDeZpXu,,,,,,,,,,
0;01/11/2018 20:33;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;16;0;3;border bunny;border bunnies;;01/11/2018 20:33;;CsMJUAJZd,,,,,,,,,
0;01/11/2018 20:33;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;593;0;97;border hopper;border hoppers;;01/11/2018 20:33;;UhxDeasWz,,,,,,,,,
0;01/11/2018 20:33;A person of Latino descent, particularly a Mexican migrant laborer.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;837;0;198;border jumper;border jumpers;;01/11/2018 20:33;;BbYRko6KU,,,,,,,,,
0;01/11/2018 20:33;Canberra word for white trash or redneck, sometimes shortened to boon;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;29;0;9;booner;booners;;01/11/2018 20:33;;JsDi4YGpe,,,,,,,,,
"0;01/11/2018 20:33;""[1] Australian aboriginal. Boong", pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand," a Pacific Islander."";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;8;0;3;boonga;boongas;;01/11/2018 20:33;;FAx3nyAZi",,
"0;01/11/2018 20:33;""[1] Australian aboriginal. Boong", pronounced with (like the vowel in bull), is related to the Australian English slang word bung, meaning dead; infected; or dysfunctional. From bung, to go bung 'Originally to die, then to break down, go bankrupt, cease to function [Ab. bong dead]'. Highly offensive. [2] In New Zealand," a Pacific Islander."";FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;17;0;5;boong;boongs;;01/11/2018 20:33;;nPiErFPmx",,
